Year,Quarter,Company ,Category,Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI
2017,2,AIG,Bank,12.502,3.13,1.13,1.19,3.005,74.324,0.17,5.72,,,
2017,3,AIG,Bank,11.751,-1.587,-1.739,-1.91,-1.695,73.012,0.17,5.89,,,
2017,4,AIG,Bank,12.635,2.074,-6.66,-7,2.089,65.708,0.16,6.58,,,
2016,1,AIG,Bank,11.779,4.442,-0.183,-0.16,4.827,89.081,0.13,4.64,,,
2016,2,AIG,Bank,14.724,4.305,1.913,1.68,3.583,90.537,0.13,4.64,,,
2016,3,AIG,Bank,12.854,1.942,0.462,0.42,1.468,89.165,0.13,4.77,,,
2016,4,AIG,Bank,13.01,-8.039,-3.041,-2.72,-5.073,76.858,0.12,5.48,,,
2015,1,AIG,Bank,15.975,8.489,2.468,1.78,8.365,108.367,0.14,3.81,,,
2015,2,AIG,Bank,15.699,4.567,1.8,1.32,4.866,104.642,0.14,3.87,,,
2015,3,AIG,Bank,12.822,1.83,-0.231,-0.18,1.176,99.619,0.13,4.04,,,
2015,4,AIG,Bank,13.831,-4.321,-1.841,-1.27,-4.449,90.21,0.12,4.51,,,
2014,1,AIG,Bank,16.163,8.411,1.609,1.09,7.131,104.393,0.15,4.24,,,
2014,2,AIG,Bank,16.136,4.688,3.073,2.1,4.025,108.581,0.15,3.87,,,
2014,3,AIG,Bank,16.697,5.461,2.192,1.52,5.202,108.983,0.14,3.84,,,
2014,4,AIG,Bank,15.41,0.659,0.655,0.49,0.394,107.272,0.13,3.81,,,
2013,1,AIG,Bank,16.962,6.979,2.206,1.49,5.865,100.183,0.16,4.48,,,
2013,2,AIG,Bank,18.426,7.119,2.731,1.84,5.923,98.155,0.16,4.48,,,
2013,3,AIG,Bank,15.944,5.353,2.17,1.46,4.072,99.449,0.15,4.44,,,
2013,4,AIG,Bank,17.542,2.464,1.978,1.34,1.062,101.081,0.14,4.36,,,
2012,1,AIG,Bank,17.497,7.058,3.208,1.71,6.926,104.344,0.15,4.31,,,
2012,2,AIG,Bank,16.221,5.114,2.332,1.33,4.985,105.529,0.15,4.26,,,
2012,3,AIG,Bank,16.722,5.317,1.856,1.13,5.256,102.414,0.15,4.38,,,
2012,4,AIG,Bank,20.774,4.336,-3.958,-2.13,2.16,98.669,0.15,4.56,,,
2011,1,AIG,Bank,17.439,5.406,0.485,0.31,5.802,85.845,0.16,6.12,,,
2011,2,AIG,Bank,16.68,5.351,1.836,1,4.739,93.629,0.18,5.59,,,
2011,3,AIG,Bank,12.719,1.173,-3.99,-2.1,-0.391,86.802,0.18,5.27,,,
2011,4,AIG,Bank,18.267,4.695,21.479,11.8,5.075,102.393,0.17,4.4,,,
2010,1,AIG,Bank,18.555,7.243,0.359,2.66,9.415,101.719,0.09,7.49,,,
2010,2,AIG,Bank,18.314,6.74,-2.656,-19.57,8.033,102.724,0.15,7.28,,,
2010,3,AIG,Bank,19.455,6.347,-2.517,-18.53,4.781,108.713,0.12,7.02,,,
2010,4,AIG,Bank,16.505,-3.543,6.86,50.42,-1.063,113.239,0.13,5.04,,,
2009,1,AIG,Bank,13.315,-1.614,-5.365,-39.67,3.193,53.209,0.09,14.41,,,
2009,2,AIG,Bank,23.922,5.868,0.311,2.3,10.256,62.133,0.1,12.37,,,
2009,3,AIG,Bank,19.604,4.731,0.092,0.68,14.826,76.537,0.09,10.03,,,
2009,4,AIG,Bank,18.606,2.74,-7.282,-53.79,-0.51,98.076,0,7.64,,,
2022,1,PCG,Manufacturing,5.798,4.735,0.475,0.22,1.508,21.644,0.81,3.8,,,
2022,2,PCG,Manufacturing,5.118,3.979,0.356,0.17,1.386,22.019,0.87,4.16,,,
2022,3,PCG,Manufacturing,5.394,4.105,0.456,0.21,1.728,22.486,0.78,4.2,,,
2022,4,PCG,Manufacturing,5.37,4.005,0.513,0.24,1.071,23.075,0.63,4.14,,,
2021,1,PCG,Manufacturing,4.716,3.819,0.12,0.06,1.192,21.379,0.64,3.61,,,
2021,2,PCG,Manufacturing,5.215,4.181,-1.091,-0.55,1.485,21.799,0.65,4,,,
2021,3,PCG,Manufacturing,5.465,4.156,0.397,0.18,1.105,20.727,0.66,3.61,,,
2021,4,PCG,Manufacturing,5.246,4.105,0.472,0.26,1.504,21.223,0.74,3.87,,,
2020,1,PCG,Manufacturing,4.306,3.477,0.371,0.57,1.51,5.759,0.71,14.05,,,
2020,2,PCG,Manufacturing,4.533,3.64,-1.972,-3.73,1.156,3.801,0.74,27.74,,,
2020,3,PCG,Manufacturing,4.882,3.678,0.083,0.04,1.243,21.064,0.55,3.54,,,
2020,4,PCG,Manufacturing,4.748,3.776,0.2,2.07,1.314,21.253,1.28,3.6,,,
2019,1,PCG,Manufacturing,4.011,3.073,0.136,0.25,0.986,13.129,1.33,5.27,,,
2019,2,PCG,Manufacturing,3.943,2.998,-2.553,-4.83,-2.844,10.594,1.79,6.97,,,
2019,3,PCG,Manufacturing,4.432,3.294,-1.619,-3.06,-1.46,8.991,2.03,8.53,,,
2019,4,PCG,Manufacturing,4.743,3.935,-3.62,-6.86,-3.542,5.388,2.22,14.81,,,
2018,1,PCG,Manufacturing,4.056,2.948,0.442,0.86,1.351,19.983,0.22,2.41,,,
2018,2,PCG,Manufacturing,4.234,3.192,-0.984,-1.91,-0.719,19.061,0.67,2.67,,,
2018,3,PCG,Manufacturing,4.381,3.056,0.564,1.09,1.455,19.696,0.65,2.62,,,
2018,4,PCG,Manufacturing,4.088,3.064,-6.873,-13.29,-8.751,12.903,0.85,4.97,,,
2017,1,PCG,Manufacturing,4.268,3.096,0.576,1.13,1.579,18.605,0.88,2.72,,,
2017,2,PCG,Manufacturing,4.25,3.006,0.406,0.79,1.447,18.891,0.85,2.71,,,
2017,3,PCG,Manufacturing,4.517,2.973,0.55,1.07,1.596,19.286,0.87,2.71,,,
2017,4,PCG,Manufacturing,4.1,3.005,0.114,0.22,1.137,19.472,0.92,2.49,,,
2016,1,PCG,Manufacturing,3.974,2.802,0.107,0.22,0.792,16.864,0.82,2.83,,,
2016,2,PCG,Manufacturing,4.169,2.938,0.206,0.41,1.1,16.998,0.92,2.88,,,
2016,3,PCG,Manufacturing,4.81,3.117,0.388,0.77,1.334,17.606,0.92,2.78,,,
2016,4,PCG,Manufacturing,4.713,3.429,0.692,1.38,1.609,18.192,0.94,2.77,,,
2015,1,PCG,Manufacturing,3.899,2.625,0.031,0.06,0.702,15.955,0.91,2.8,,,
2015,2,PCG,Manufacturing,4.217,2.822,0.402,0.83,1.338,16.271,1,2.79,,,
2015,3,PCG,Manufacturing,4.55,2.819,0.307,0.63,1.198,16.82,1.02,2.69,,,
2015,4,PCG,Manufacturing,4.167,2.805,0.134,0.27,0.882,16.828,0.98,2.76,,,
2014,1,PCG,Manufacturing,3.891,2.321,0.227,0.49,1.022,14.932,1.08,2.75,,,
2014,2,PCG,Manufacturing,3.952,2.403,0.267,0.57,1.075,15.28,1.06,2.73,,,
2014,3,PCG,Manufacturing,4.939,3.023,0.811,1.71,1.736,16.031,0.93,2.61,,,
2014,4,PCG,Manufacturing,4.308,2.774,0.131,0.29,1.05,16,0.96,2.76,,,
2013,1,PCG,Manufacturing,3.672,2.343,0.239,0.55,1.005,13.824,0.8,2.84,,,
2013,2,PCG,Manufacturing,3.776,2.408,0.328,0.74,1.152,14.122,0.72,2.87,,,
2013,3,PCG,Manufacturing,4.175,2.399,0.161,0.36,0.814,14.26,0.74,2.85,,,
2013,4,PCG,Manufacturing,3.975,2.464,0.086,0.18,0.868,14.594,0.69,2.81,,,
2012,1,PCG,Manufacturing,3.641,2.439,0.233,0.56,1.071,12.812,0.82,2.92,,,
2012,2,PCG,Manufacturing,3.593,2.499,0.235,0.55,1.073,13.054,1.03,2.84,,,
2012,3,PCG,Manufacturing,3.976,2.575,0.361,0.84,1.231,13.385,0.87,2.8,,,
2012,4,PCG,Manufacturing,3.83,2.504,-0.013,-0.03,0.59,13.326,0.85,2.94,,,
2011,1,PCG,Manufacturing,3.597,2.201,0.199,0.5,0.975,11.666,0.84,2.97,,,
2011,2,PCG,Manufacturing,3.684,2.52,0.362,0.91,1.283,12.041,0.86,2.93,,,
2011,3,PCG,Manufacturing,3.86,2.466,0.2,0.5,0.974,12.211,0.87,2.89,,,
2011,4,PCG,Manufacturing,3.815,2.436,0.083,0.19,0.925,12.353,0.7,3.03,,,
2010,1,PCG,Manufacturing,3.475,2.06,0.258,0.67,1.124,10.621,0.77,3.1,,,
2010,2,PCG,Manufacturing,3.232,2.122,0.333,0.86,1.227,11.123,0.8,2.98,,,
2010,3,PCG,Manufacturing,3.513,2.229,0.258,0.66,0.885,11.275,0.74,3.01,,,
2010,4,PCG,Manufacturing,3.621,2.241,0.25,0.63,0.977,11.534,0.72,2.99,,,
2009,1,PCG,Manufacturing,3.431,1.991,0.241,0.65,0.976,9.862,0.83,3.19,,,
2009,2,PCG,Manufacturing,3.194,2.123,0.388,1.02,1.137,10.198,0.81,3.14,,,
2009,3,PCG,Manufacturing,3.235,2.104,0.318,0.83,1.118,10.414,0.87,3.09,,,
2009,4,PCG,Manufacturing,3.539,2.179,0.273,0.7,0.82,10.585,0.89,3.06,,,
2018,1,SHLDQ,Finance,4.65,,,,,,,,,,
2018,2,SHLDQ,Finance,2.891,,,,,,,,,,
2018,3,SHLDQ,Finance,3.182,,,,,,,,,,
2018,4,SHLDQ,Finance,2.742,,,,,,,,,,
2017,1,SHLDQ,Finance,6.052,,,,,,,,,,
2017,2,SHLDQ,Finance,4.199,,,,,,,,,,
2017,3,SHLDQ,Finance,4.278,,,,,,,,,,
2017,4,SHLDQ,Finance,3.575,,,,,,,,,,
2016,1,SHLDQ,Finance,7.303,,,,,,,,,,
2016,2,SHLDQ,Finance,5.394,,,,,,,,,,
2016,3,SHLDQ,Finance,5.663,,,,,,,,,,
2016,4,SHLDQ,Finance,5.029,,,,,,,,,,
2015,1,SHLDQ,Finance,8.099,,,,,,,,,,
2015,2,SHLDQ,Finance,5.882,,,,,,,,,,
2015,3,SHLDQ,Finance,6.211,,,,,,,,,,
2015,4,SHLDQ,Finance,5.75,,,,,,,,,,
2014,1,SHLDQ,Finance,10.593,,,,,,,,,,
2014,2,SHLDQ,Finance,7.879,,,,,,,,,,
2014,3,SHLDQ,Finance,8.013,,,,,,,,,,
2014,4,SHLDQ,Finance,7.207,,,,,,,,,,
2013,1,SHLDQ,Finance,12.26,,,,,,,,,,
2013,2,SHLDQ,Finance,8.452,,,,,,,,,,
2013,3,SHLDQ,Finance,8.871,,,,,,,,,,
2013,4,SHLDQ,Finance,8.272,,,,,,,,,,
2012,1,SHLDQ,Finance,12.484,,,,,,,,,,
2012,2,SHLDQ,Finance,9.27,,,,,,,,,,
2012,3,SHLDQ,Finance,9.467,,,,,,,,,,
2012,4,SHLDQ,Finance,8.857,,,,,,,,,,
2011,1,SHLDQ,Finance,12.482,,,,,,,,,,
2011,2,SHLDQ,Finance,9.54,,,,,,,,,,
2011,3,SHLDQ,Finance,10.138,,,,,,,,,,
2011,4,SHLDQ,Finance,9.405,,,,,,,,,,
2010,1,SHLDQ,Finance,12.564,,,,,,,,,,
2010,2,SHLDQ,Finance,10.046,,,,,,,,,,
2010,3,SHLDQ,Finance,10.458,,,,,,,,,,
2010,4,SHLDQ,Finance,9.678,,,,,,,,,,
2009,1,SHLDQ,Finance,13.28,,,,,,,,,,
2009,2,SHLDQ,Finance,10.055,,,,,,,,,,
2009,3,SHLDQ,Finance,10.551,,,,,,,,,,
2009,4,SHLDQ,Finance,10.19,,,,,,,,,,
2022,1,MCD,FOOD,,,,,,,,,,,
2022,2,MCD,FOOD,,,,,,,,,,,
2022,3,MCD,FOOD,,,,,,,,,,,
2022,4,MCD,FOOD,,,,,,,,,,,
2021,1,MCD,FOOD,,,,,,,,,,,
2021,2,MCD,FOOD,,,,,,,,,,,
2021,3,MCD,FOOD,,,,,,,,,,,
2021,4,MCD,FOOD,,,,,,,,,,,
2020,1,MCD,FOOD,,,,,,,,,,,
2020,2,MCD,FOOD,,,,,,,,,,,
2020,3,MCD,FOOD,,,,,,,,,,,
2020,4,MCD,FOOD,,,,,,,,,,,
2019,1,MCD,FOOD,,,,,,,,,,,
2019,2,MCD,FOOD,,,,,,,,,,,
2019,3,MCD,FOOD,,,,,,,,,,,
2019,4,MCD,FOOD,,,,,,,,,,,
2018,1,MCD,FOOD,,,,,,,,,,,
2018,2,MCD,FOOD,,,,,,,,,,,
2018,3,MCD,FOOD,,,,,,,,,,,
2018,4,MCD,FOOD,,,,,,,,,,,
2017,1,MCD,FOOD,,,,,,,,,,,
2017,2,MCD,FOOD,,,,,,,,,,,
2017,3,MCD,FOOD,,,,,,,,,,,
2017,4,MCD,FOOD,,,,,,,,,,,
2016,1,MCD,FOOD,,,,,,,,,,,
2016,2,MCD,FOOD,,,,,,,,,,,
2016,3,MCD,FOOD,,,,,,,,,,,
2016,4,MCD,FOOD,,,,,,,,,,,
2015,1,MCD,FOOD,,,,,,,,,,,
2015,2,MCD,FOOD,,,,,,,,,,,
2015,3,MCD,FOOD,,,,,,,,,,,
2015,4,MCD,FOOD,,,,,,,,,,,
2014,1,MCD,FOOD,,,,,,,,,,,
2014,2,MCD,FOOD,,,,,,,,,,,
2014,3,MCD,FOOD,,,,,,,,,,,
2014,4,MCD,FOOD,,,,,,,,,,,
2013,1,MCD,FOOD,,,,,,,,,,,
2013,2,MCD,FOOD,,,,,,,,,,,
2013,3,MCD,FOOD,,,,,,,,,,,
2013,4,MCD,FOOD,,,,,,,,,,,
2012,1,MCD,FOOD,,,,,,,,,,,
2012,2,MCD,FOOD,,,,,,,,,,,
2012,3,MCD,FOOD,,,,,,,,,,,
2012,4,MCD,FOOD,,,,,,,,,,,
2011,1,MCD,FOOD,,,,,,,,,,,
2011,2,MCD,FOOD,,,,,,,,,,,
2011,3,MCD,FOOD,,,,,,,,,,,
2011,4,MCD,FOOD,,,,,,,,,,,
2010,1,MCD,FOOD,,,,,,,,,,,
2010,2,MCD,FOOD,,,,,,,,,,,
2010,3,MCD,FOOD,,,,,,,,,,,
2010,4,MCD,FOOD,,,,,,,,,,,
2009,1,MCD,FOOD,,,,,,,,,,,
2009,2,MCD,FOOD,,,,,,,,,,,
2009,3,MCD,FOOD,,,,,,,,,,,
2009,4,MCD,FOOD,,,,,,,,,,,
2022,1,BCS,BANK,,,,,,,,,,,
2022,2,BCS,BANK,,,,,,,,,,,
2022,3,BCS,BANK,,,,,,,,,,,
2022,4,BCS,BANK,,,,,,,,,,,
2021,1,BCS,BANK,,,,,,,,,,,
2021,2,BCS,BANK,,,,,,,,,,,
2021,3,BCS,BANK,,,,,,,,,,,
2021,4,BCS,BANK,,,,,,,,,,,
2020,1,BCS,BANK,,,,,,,,,,,
2020,2,BCS,BANK,,,,,,,,,,,
2020,3,BCS,BANK,,,,,,,,,,,
2020,4,BCS,BANK,,,,,,,,,,,
2019,1,BCS,BANK,,,,,,,,,,,
2019,2,BCS,BANK,,,,,,,,,,,
2019,3,BCS,BANK,,,,,,,,,,,
2019,4,BCS,BANK,,,,,,,,,,,
2018,1,BCS,BANK,,,,,,,,,,,
2018,2,BCS,BANK,,,,,,,,,,,
2018,3,BCS,BANK,,,,,,,,,,,
2018,4,BCS,BANK,,,,,,,,,,,
2017,1,BCS,BANK,,,,,,,,,,,
2017,2,BCS,BANK,,,,,,,,,,,
2017,3,BCS,BANK,,,,,,,,,,,
2017,4,BCS,BANK,,,,,,,,,,,
2016,1,BCS,BANK,,,,,,,,,,,
2016,2,BCS,BANK,,,,,,,,,,,
2016,3,BCS,BANK,,,,,,,,,,,
2016,4,BCS,BANK,,,,,,,,,,,
2015,1,BCS,BANK,,,,,,,,,,,
2015,2,BCS,BANK,,,,,,,,,,,
2015,3,BCS,BANK,,,,,,,,,,,
2015,4,BCS,BANK,,,,,,,,,,,
2014,1,BCS,BANK,,,,,,,,,,,
2014,2,BCS,BANK,,,,,,,,,,,
2014,3,BCS,BANK,,,,,,,,,,,
2014,4,BCS,BANK,,,,,,,,,,,
2013,1,BCS,BANK,,,,,,,,,,,
2013,2,BCS,BANK,,,,,,,,,,,
2013,3,BCS,BANK,,,,,,,,,,,
2013,4,BCS,BANK,,,,,,,,,,,
2012,1,BCS,BANK,,,,,,,,,,,
2012,2,BCS,BANK,,,,,,,,,,,
2012,3,BCS,BANK,,,,,,,,,,,
2012,4,BCS,BANK,,,,,,,,,,,
2011,1,BCS,BANK,,,,,,,,,,,
2011,2,BCS,BANK,,,,,,,,,,,
2011,3,BCS,BANK,,,,,,,,,,,
2011,4,BCS,BANK,,,,,,,,,,,
2010,1,BCS,BANK,,,,,,,,,,,
2010,2,BCS,BANK,,,,,,,,,,,
2010,3,BCS,BANK,,,,,,,,,,,
2010,4,BCS,BANK,,,,,,,,,,,
2009,1,BCS,BANK,,,,,,,,,,,
2009,2,BCS,BANK,,,,,,,,,,,
2009,3,BCS,BANK,,,,,,,,,,,
2009,4,BCS,BANK,,,,,,,,,,,
2022,1,NVDA,ELEC,,,,,,,,,,,
2022,2,NVDA,ELEC,,,,,,,,,,,
2022,3,NVDA,ELEC,,,,,,,,,,,
2022,4,NVDA,ELEC,,,,,,,,,,,
2021,1,NVDA,ELEC,,,,,,,,,,,
2021,2,NVDA,ELEC,,,,,,,,,,,
2021,3,NVDA,ELEC,,,,,,,,,,,
2021,4,NVDA,ELEC,,,,,,,,,,,
2020,1,NVDA,ELEC,,,,,,,,,,,
2020,2,NVDA,ELEC,,,,,,,,,,,
2020,3,NVDA,ELEC,,,,,,,,,,,
2020,4,NVDA,ELEC,,,,,,,,,,,
2019,1,NVDA,ELEC,,,,,,,,,,,
2019,2,NVDA,ELEC,,,,,,,,,,,
2019,3,NVDA,ELEC,,,,,,,,,,,
2019,4,NVDA,ELEC,,,,,,,,,,,
2018,1,NVDA,ELEC,,,,,,,,,,,
2018,2,NVDA,ELEC,,,,,,,,,,,
2018,3,NVDA,ELEC,,,,,,,,,,,
2018,4,NVDA,ELEC,,,,,,,,,,,
2017,1,NVDA,ELEC,,,,,,,,,,,
2017,2,NVDA,ELEC,,,,,,,,,,,
2017,3,NVDA,ELEC,,,,,,,,,,,
2017,4,NVDA,ELEC,,,,,,,,,,,
2016,1,NVDA,ELEC,,,,,,,,,,,
2016,2,NVDA,ELEC,,,,,,,,,,,
2016,3,NVDA,ELEC,,,,,,,,,,,
2016,4,NVDA,ELEC,,,,,,,,,,,
2015,1,NVDA,ELEC,,,,,,,,,,,
2015,2,NVDA,ELEC,,,,,,,,,,,
2015,3,NVDA,ELEC,,,,,,,,,,,
2015,4,NVDA,ELEC,,,,,,,,,,,
2014,1,NVDA,ELEC,,,,,,,,,,,
2014,2,NVDA,ELEC,,,,,,,,,,,
2014,3,NVDA,ELEC,,,,,,,,,,,
2014,4,NVDA,ELEC,,,,,,,,,,,
2013,1,NVDA,ELEC,,,,,,,,,,,
2013,2,NVDA,ELEC,,,,,,,,,,,
2013,3,NVDA,ELEC,,,,,,,,,,,
2013,4,NVDA,ELEC,,,,,,,,,,,
2012,1,NVDA,ELEC,,,,,,,,,,,
2012,2,NVDA,ELEC,,,,,,,,,,,
2012,3,NVDA,ELEC,,,,,,,,,,,
2012,4,NVDA,ELEC,,,,,,,,,,,
2011,1,NVDA,ELEC,,,,,,,,,,,
2011,2,NVDA,ELEC,,,,,,,,,,,
2011,3,NVDA,ELEC,,,,,,,,,,,
2011,4,NVDA,ELEC,,,,,,,,,,,
2010,1,NVDA,ELEC,,,,,,,,,,,
2010,2,NVDA,ELEC,,,,,,,,,,,
2010,3,NVDA,ELEC,,,,,,,,,,,
2010,4,NVDA,ELEC,,,,,,,,,,,
2009,1,NVDA,ELEC,,,,,,,,,,,
2009,2,NVDA,ELEC,,,,,,,,,,,
2009,3,NVDA,ELEC,,,,,,,,,,,
2009,4,NVDA,ELEC,,,,,,,,,,,
2022,1,INTC,ELEC,,,,,,,,,,,
2022,2,INTC,ELEC,,,,,,,,,,,
2022,3,INTC,ELEC,,,,,,,,,,,
2022,4,INTC,ELEC,,,,,,,,,,,
2021,1,INTC,ELEC,,,,,,,,,,,
2021,2,INTC,ELEC,,,,,,,,,,,
2021,3,INTC,ELEC,,,,,,,,,,,
2021,4,INTC,ELEC,,,,,,,,,,,
2020,1,INTC,ELEC,,,,,,,,,,,
2020,2,INTC,ELEC,,,,,,,,,,,
2020,3,INTC,ELEC,,,,,,,,,,,
2020,4,INTC,ELEC,,,,,,,,,,,
2019,1,INTC,ELEC,,,,,,,,,,,
2019,2,INTC,ELEC,,,,,,,,,,,
2019,3,INTC,ELEC,,,,,,,,,,,
2019,4,INTC,ELEC,,,,,,,,,,,
2018,1,INTC,ELEC,,,,,,,,,,,
2018,2,INTC,ELEC,,,,,,,,,,,
2018,3,INTC,ELEC,,,,,,,,,,,
2018,4,INTC,ELEC,,,,,,,,,,,
2017,1,INTC,ELEC,,,,,,,,,,,
2017,2,INTC,ELEC,,,,,,,,,,,
2017,3,INTC,ELEC,,,,,,,,,,,
2017,4,INTC,ELEC,,,,,,,,,,,
2016,1,INTC,ELEC,,,,,,,,,,,
2016,2,INTC,ELEC,,,,,,,,,,,
2016,3,INTC,ELEC,,,,,,,,,,,
2016,4,INTC,ELEC,,,,,,,,,,,
2015,1,INTC,ELEC,,,,,,,,,,,
2015,2,INTC,ELEC,,,,,,,,,,,
2015,3,INTC,ELEC,,,,,,,,,,,
2015,4,INTC,ELEC,,,,,,,,,,,
2014,1,INTC,ELEC,,,,,,,,,,,
2014,2,INTC,ELEC,,,,,,,,,,,
2014,3,INTC,ELEC,,,,,,,,,,,
2014,4,INTC,ELEC,,,,,,,,,,,
2013,1,INTC,ELEC,,,,,,,,,,,
2013,2,INTC,ELEC,,,,,,,,,,,
2013,3,INTC,ELEC,,,,,,,,,,,
2013,4,INTC,ELEC,,,,,,,,,,,
2012,1,INTC,ELEC,,,,,,,,,,,
2012,2,INTC,ELEC,,,,,,,,,,,
2012,3,INTC,ELEC,,,,,,,,,,,
2012,4,INTC,ELEC,,,,,,,,,,,
2011,1,INTC,ELEC,,,,,,,,,,,
2011,2,INTC,ELEC,,,,,,,,,,,
2011,3,INTC,ELEC,,,,,,,,,,,
2011,4,INTC,ELEC,,,,,,,,,,,
2010,1,INTC,ELEC,,,,,,,,,,,
2010,2,INTC,ELEC,,,,,,,,,,,
2010,3,INTC,ELEC,,,,,,,,,,,
2010,4,INTC,ELEC,,,,,,,,,,,
2009,1,INTC,ELEC,,,,,,,,,,,
2009,2,INTC,ELEC,,,,,,,,,,,
2009,3,INTC,ELEC,,,,,,,,,,,
2009,4,INTC,ELEC,,,,,,,,,,,
2022,1,AMZN,LOGI,,,,,,,,,,,
2022,2,AMZN,LOGI,,,,,,,,,,,
2022,3,AMZN,LOGI,,,,,,,,,,,
2022,4,AMZN,LOGI,,,,,,,,,,,
2021,1,AMZN,LOGI,,,,,,,,,,,
2021,2,AMZN,LOGI,,,,,,,,,,,
2021,3,AMZN,LOGI,,,,,,,,,,,
2021,4,AMZN,LOGI,,,,,,,,,,,
2020,1,AMZN,LOGI,,,,,,,,,,,
2020,2,AMZN,LOGI,,,,,,,,,,,
2020,3,AMZN,LOGI,,,,,,,,,,,
2020,4,AMZN,LOGI,,,,,,,,,,,
2019,1,AMZN,LOGI,,,,,,,,,,,
2019,2,AMZN,LOGI,,,,,,,,,,,
2019,3,AMZN,LOGI,,,,,,,,,,,
2019,4,AMZN,LOGI,,,,,,,,,,,
2018,1,AMZN,LOGI,,,,,,,,,,,
2018,2,AMZN,LOGI,,,,,,,,,,,
2018,3,AMZN,LOGI,,,,,,,,,,,
2018,4,AMZN,LOGI,,,,,,,,,,,
2017,1,AMZN,LOGI,,,,,,,,,,,
2017,2,AMZN,LOGI,,,,,,,,,,,
2017,3,AMZN,LOGI,,,,,,,,,,,
2017,4,AMZN,LOGI,,,,,,,,,,,
2016,1,AMZN,LOGI,,,,,,,,,,,
2016,2,AMZN,LOGI,,,,,,,,,,,
2016,3,AMZN,LOGI,,,,,,,,,,,
2016,4,AMZN,LOGI,,,,,,,,,,,
2015,1,AMZN,LOGI,,,,,,,,,,,
2015,2,AMZN,LOGI,,,,,,,,,,,
2015,3,AMZN,LOGI,,,,,,,,,,,
2015,4,AMZN,LOGI,,,,,,,,,,,
2014,1,AMZN,LOGI,,,,,,,,,,,
2014,2,AMZN,LOGI,,,,,,,,,,,
2014,3,AMZN,LOGI,,,,,,,,,,,
2014,4,AMZN,LOGI,,,,,,,,,,,
2013,1,AMZN,LOGI,,,,,,,,,,,
2013,2,AMZN,LOGI,,,,,,,,,,,
2013,3,AMZN,LOGI,,,,,,,,,,,
2013,4,AMZN,LOGI,,,,,,,,,,,
2012,1,AMZN,LOGI,,,,,,,,,,,
2012,2,AMZN,LOGI,,,,,,,,,,,
2012,3,AMZN,LOGI,,,,,,,,,,,
2012,4,AMZN,LOGI,,,,,,,,,,,
2011,1,AMZN,LOGI,,,,,,,,,,,
2011,2,AMZN,LOGI,,,,,,,,,,,
2011,3,AMZN,LOGI,,,,,,,,,,,
2011,4,AMZN,LOGI,,,,,,,,,,,
2010,1,AMZN,LOGI,,,,,,,,,,,
2010,2,AMZN,LOGI,,,,,,,,,,,
2010,3,AMZN,LOGI,,,,,,,,,,,
2010,4,AMZN,LOGI,,,,,,,,,,,
2009,1,AMZN,LOGI,,,,,,,,,,,
2009,2,AMZN,LOGI,,,,,,,,,,,
2009,3,AMZN,LOGI,,,,,,,,,,,
2009,4,AMZN,LOGI,,,,,,,,,,,
